,item name,price,origianl price,sales,promotion,province,product link
0,กระเป๋าเดินทาง Huwai 60 Lกับ40L กระเป๋าเป้สะพายหลัง ขนาด 60กับ40 ลิตร ใหญ่จุใจเหมาะสำหรับสวมใส่เดินทางเเละปีนเขา ของแท้,"['219 ', ' 279']","['219 ', ' 279']",1600.0,ซื้อ 2 ชิ้น ลด ฿5,จังหวัดปทุมธานี,/กระเป๋าเดินทาง-Huwai-60-Lกับ40L-กระเป๋าเป้สะพายหลัง-ขนาด-60กับ40-ลิตร-ใหญ่จุใจเหมาะสำหรับสวมใส่เดินทางเเละปีนเขา-ของแท้-i.480816494.16924813510?sp_atk=9aa6451b-0105-4787-a5a1-27bfcec9aeb7&xptdk=9aa6451b-0105-4787-a5a1-27bfcec9aeb7
1,[🔥พร้อมส่งจากไทย🔥] ถูกที่สุด!! ขวดใส่สเปรย์แอลกอฮอล์ ขนาด80ml,['42'],105.0,861.0,,จังหวัดสมุทรสาคร,/-🔥พร้อมส่งจากไทย🔥-ถูกที่สุด!!-ขวดใส่สเปรย์แอลกอฮอล์-ขนาด80ml-i.272214425.19460340969?sp_atk=ac8f3d16-90c3-434c-a53d-f6aa058297c7&xptdk=ac8f3d16-90c3-434c-a53d-f6aa058297c7
2,💥💥กระเป๋าเป้เดินทาง ปรับได้ 2ระดับ กระเป๋าเดินทางแบบสะพายหลัง กระเป๋าเดินเขา กระเป๋าเป้กันน้ำ ใส่ของได้เยอะ,['280'],289.0,3100.0,,จังหวัดปทุมธานี,/💥💥กระเป๋าเป้เดินทาง-ปรับได้-2ระดับ-กระเป๋าเดินทางแบบสะพายหลัง-กระเป๋าเดินเขา-กระเป๋าเป้กันน้ำ-ใส่ของได้เยอะ-i.9606209.4934158264?sp_atk=f5b3273e-9331-47e7-9909-166b41d3e9da&xptdk=f5b3273e-9331-47e7-9909-166b41d3e9da
3,Goody Home  กระเป๋าผ้ามีลาย บรรจุของใช้ พับเก็บได้และสามารถหิ้วได้หรือนำไปเสียบบนแกนกระเป๋าเดินทางเพื่อลากผ่อนแรงได้,['38'],159.0,12400.0,,จังหวัดกรุงเทพมหานคร,/Goody-Home-กระเป๋าผ้ามีลาย-บรรจุของใช้-พับเก็บได้และสามารถหิ้วได้หรือนำไปเสียบบนแกนกระเป๋าเดินทางเพื่อลากผ่อนแรงได้-i.149578889.5115173791?sp_atk=d454c6b8-2f24-4b8b-b2e6-4e0e12af09d0&xptdk=d454c6b8-2f24-4b8b-b2e6-4e0e12af09d0
4,กระเป๋าเดินทางล้อลาก รุ่น TOKYO SERIES 6สีสุดน่ารัก พร้อมส่ง ของแท้100% [รับประกัน 1 ปี],"['299 ', ' 1,490']","['299 ', ' 1,490']",8700.0,,จังหวัดกรุงเทพมหานคร,/กระเป๋าเดินทางล้อลาก-รุ่น-TOKYO-SERIES-6สีสุดน่ารัก-พร้อมส่ง-ของแท้100-รับประกัน-1-ปี--i.66917295.14077550492?sp_atk=c826d146-6c64-49bf-a9f6-0feb145daa89&xptdk=c826d146-6c64-49bf-a9f6-0feb145daa89
5,มีขอบ ผ้าคลุมกระเป๋าเดินทาง พลาสติกคลุมกระเป๋าเดินทาง PVC ใส กันน้ำ กันเปื้อน กันรอย ติดแน่น Cover Suitcase Luggage20 /,"['79 ', ' 119']","['79 ', ' 119']",2300.0,,จังหวัดกรุงเทพมหานคร,/มีขอบ-ผ้าคลุมกระเป๋าเดินทาง-พลาสติกคลุมกระเป๋าเดินทาง-PVC-ใส-กันน้ำ-กันเปื้อน-กันรอย-ติดแน่น-Cover-Suitcase-Luggage20--i.342470365.14394769241?sp_atk=7502ce39-7bf9-4cb1-9441-e245d29ce7f8&xptdk=7502ce39-7bf9-4cb1-9441-e245d29ce7f8
6,🔥ได้เลย ไม่ต้องรอ🔥สายรัดกระเป๋าเดินทางสกรีนชื่อ โดดเด่นทุกสายพาน ป้องกันการหยิบสลับ (สกรีนชื่อฟรี ชื่อคุณเส้นเดียวในโลก),['290'],['290'],1200.0,,จังหวัดปทุมธานี,/🔥ได้เลย-ไม่ต้องรอ🔥สายรัดกระเป๋าเดินทางสกรีนชื่อ-โดดเด่นทุกสายพาน-ป้องกันการหยิบสลับ-(สกรีนชื่อฟรี-ชื่อคุณเส้นเดียวในโลก)-i.9898237.2129508358?sp_atk=70609fd9-b022-48ba-8ae7-5928c6185f1f&xptdk=70609fd9-b022-48ba-8ae7-5928c6185f1f
7,[Most Popular Transparent Black Mesh กระเป๋าเครื่องสําอางแบบมีซิป] [กระเป๋าเครื่องสําอางแบบพกพา] [กระเป๋าเครื่องสําอางกันน้ํา],"['20 ', ' 31']","['20 ', ' 31']",2300.0,ซื้อ 3 ชิ้น ลด 3%,ต่างประเทศ,/-Most-Popular-Transparent-Black-Mesh-กระเป๋าเครื่องสําอางแบบมีซิป-กระเป๋าเครื่องสําอางแบบพกพา-กระเป๋าเครื่องสําอางกันน้ํา--i.157021241.11835827460?sp_atk=7b653163-725c-4d02-98c0-9a24d35f3a4a&xptdk=7b653163-725c-4d02-98c0-9a24d35f3a4a
8,Tpartner ​ กระเป๋าเดินทางเฟรมซิปรุ่น Eco Series,"['359 ', ' 999']","['359 ', ' 999']",6900.0,,จังหวัดสมุทรปราการ,/Tpartner-​-กระเป๋าเดินทางเฟรมซิปรุ่น-Eco-Series-i.76171761.18165811206?sp_atk=b4ebba74-cf85-42e7-a8f4-23fc8de46941&xptdk=b4ebba74-cf85-42e7-a8f4-23fc8de46941
9,พร้อมส่ง ผ้าคลุมกระเป๋าเดินทางผ้ายืด (Line Edition) กันฝุ่น กันรอย สำหรับขนาด 20/24/26/28/30 นิ้ว Set 3,"['199 ', ' 299']","['199 ', ' 299']",749.0,ซื้อ 2 ชิ้น ลด 2%,จังหวัดกรุงเทพมหานคร,/พร้อมส่ง-ผ้าคลุมกระเป๋าเดินทางผ้ายืด-(Line-Edition)-กันฝุ่น-กันรอย-สำหรับขนาด-20-24-26-28-30-นิ้ว-Set-3-i.62189639.22217417047?sp_atk=209d96c2-a8ce-4532-9693-f6a7684cdb74&xptdk=209d96c2-a8ce-4532-9693-f6a7684cdb74
10,กระเป๋าเดินทาง สะพายข้าง/ถือใบใหญ่กันน้ำได้ ใส่ของได้เยอะมาก ชิ้นใหญ่ใส่ได้สบาย L55 -L99,"['98 ', ' 198']","['98 ', ' 198']",5200.0,,จังหวัดกรุงเทพมหานคร,/กระเป๋าเดินทาง-สะพายข้าง-ถือใบใหญ่กันน้ำได้-ใส่ของได้เยอะมาก-ชิ้นใหญ่ใส่ได้สบาย-L55-L99-i.648498396.15841759153?sp_atk=46a91bac-8735-44c0-ae7c-8a7eaff5cde2&xptdk=46a91bac-8735-44c0-ae7c-8a7eaff5cde2
11,🚀สั่งวันนี้ ส่งพรุ่งนี้เย็น🥹ใช้ด่วนแจ้งทางร้าน😅สายรัดกระเป๋าเดินทางใส่ชื่อได้ ทำตามสั่ง✈️เรียบหรูดูแพง✈️สายนิ่มมันเงา👑,['290'],['290'],1200.0,,จังหวัดนนทบุรี,/🚀สั่งวันนี้-ส่งพรุ่งนี้เย็น🥹ใช้ด่วนแจ้งทางร้าน😅สายรัดกระเป๋าเดินทางใส่ชื่อได้-ทำตามสั่ง✈️เรียบหรูดูแพง✈️สายนิ่มมันเงา👑-i.2089627.20347612882?sp_atk=5cbd3739-97ac-4d67-854c-c32151a4f693&xptdk=5cbd3739-97ac-4d67-854c-c32151a4f693
